x, u_gen, u_spec
0.068507, 0.427441, 0.427441
0.068607, 0.427844, 0.427844
0.068707, 0.428248, 0.428248
0.068807, 0.428651, 0.428651
0.068907, 0.429053, 0.429053
0.069007, 0.429455, 0.429455
0.069107, 0.429856, 0.429856
0.069207, 0.430257, 0.430257
0.069307, 0.430657, 0.430657
0.069407, 0.431057, 0.431057
0.069507, 0.431456, 0.431456
0.069607, 0.431855, 0.431855
0.069707, 0.432254, 0.432254
0.069807, 0.432651, 0.432651
0.069907, 0.433049, 0.433049
0.070007, 0.433446, 0.433446
0.070107, 0.433842, 0.433842
0.070207, 0.434238, 0.434238
0.070307, 0.434633, 0.434633
0.070407, 0.435028, 0.435028
0.070507, 0.435422, 0.435422
0.070607, 0.435816, 0.435816
0.070707, 0.436210, 0.436210
0.070807, 0.436603, 0.436603
0.070907, 0.436995, 0.436995
0.071007, 0.437387, 0.437387
0.071107, 0.437778, 0.437778
0.071207, 0.438169, 0.438169
0.071307, 0.438560, 0.438560
0.071407, 0.438949, 0.438949
0.071507, 0.439339, 0.439339
0.071607, 0.439728, 0.439728
0.071707, 0.440116, 0.440116
0.071807, 0.440504, 0.440504
0.071907, 0.440892, 0.440892
0.072007, 0.441279, 0.441279
0.072107, 0.441665, 0.441665
0.072207, 0.442051, 0.442051
0.072307, 0.442437, 0.442437
0.072407, 0.442822, 0.442822
0.072507, 0.443207, 0.443207
0.072607, 0.443591, 0.443591
0.072707, 0.443974, 0.443974
0.072807, 0.444357, 0.444357
0.072907, 0.444740, 0.444740
0.073007, 0.445122, 0.445122
0.073107, 0.445504, 0.445504
0.073207, 0.445885, 0.445885
0.073307, 0.446266, 0.446266
0.073407, 0.446646, 0.446646
0.073507, 0.447026, 0.447026
0.073607, 0.447405, 0.447405
0.073707, 0.447784, 0.447784
0.073807, 0.448162, 0.448162
0.073907, 0.448540, 0.448540
0.074007, 0.448917, 0.448917
0.074107, 0.449294, 0.449294
0.074207, 0.449671, 0.449671
0.074307, 0.450047, 0.450047
0.074407, 0.450422, 0.450422
0.074507, 0.450797, 0.450797
0.074607, 0.451171, 0.451171
0.074707, 0.451545, 0.451545
0.074807, 0.451919, 0.451919
0.074907, 0.452292, 0.452292
0.075008, 0.452665, 0.452665
0.075108, 0.453037, 0.453037
0.075208, 0.453409, 0.453409
0.075308, 0.453780, 0.453780
0.075408, 0.454150, 0.454150
0.075508, 0.454521, 0.454521
0.075608, 0.454890, 0.454890
0.075708, 0.455260, 0.455260
0.075808, 0.455629, 0.455629
0.075908, 0.455997, 0.455997
0.076008, 0.456365, 0.456365
0.076108, 0.456732, 0.456732
0.076208, 0.457099, 0.457099
0.076308, 0.457466, 0.457466
0.076408, 0.457832, 0.457832
0.076508, 0.458197, 0.458197
0.076608, 0.458563, 0.458563
0.076708, 0.458927, 0.458927
0.076808, 0.459291, 0.459291
0.076908, 0.459655, 0.459655
0.077008, 0.460018, 0.460018
0.077108, 0.460381, 0.460381
0.077208, 0.460743, 0.460743
0.077308, 0.461105, 0.461105
0.077408, 0.461467, 0.461467
0.077508, 0.461828, 0.461828
0.077608, 0.462188, 0.462188
0.077708, 0.462548, 0.462548
0.077808, 0.462908, 0.462908
0.077908, 0.463267, 0.463267
0.078008, 0.463625, 0.463625
0.078108, 0.463984, 0.463984
0.078208, 0.464341, 0.464341
0.078308, 0.464699, 0.464699
0.078408, 0.465055, 0.465055
0.078508, 0.465412, 0.465412
0.078608, 0.465768, 0.465768
